time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,p_term_nm,i_term_nm,d_term_nm,integral,steering_deg
2.720,8.000,8.400,-0.400,8.362,-60.000,68.362,0.000,3.418,0.00
2.730,8.000,8.400,-0.400,8.282,-60.000,68.282,0.000,3.414,0.00
2.740,8.000,8.400,-0.400,8.202,-60.000,68.202,0.000,3.410,0.00
2.750,8.000,8.400,-0.400,8.122,-60.000,68.122,0.000,3.406,0.00
2.760,8.000,8.400,-0.400,8.042,-60.000,68.042,0.000,3.402,0.00
2.770,8.000,8.400,-0.400,7.962,-60.000,67.962,0.000,3.398,0.00
2.780,8.000,8.400,-0.400,7.882,-60.000,67.882,0.000,3.394,0.00
2.790,8.000,8.400,-0.400,7.802,-60.000,67.802,0.000,3.390,0.00
2.800,8.000,8.400,-0.400,7.722,-60.000,67.722,0.000,3.386,0.00
2.810,8.000,8.400,-0.400,7.642,-60.000,67.642,0.000,3.382,0.00
2.820,8.000,8.410,-0.410,-3.940,-61.500,67.560,-10.000,3.378,0.00
2.830,8.000,8.410,-0.410,5.978,-61.500,67.478,0.000,3.374,0.00
2.840,8.000,8.410,-0.410,5.896,-61.500,67.396,0.000,3.370,0.00
2.850,8.000,8.410,-0.410,5.814,-61.500,67.314,0.000,3.366,0.00
2.860,8.000,8.410,-0.410,5.732,-61.500,67.232,0.000,3.362,0.00
2.870,8.000,8.410,-0.410,5.650,-61.500,67.150,0.000,3.358,0.00
2.880,8.000,8.410,-0.410,5.568,-61.500,67.068,0.000,3.353,0.00
2.890,8.000,8.410,-0.410,5.486,-61.500,66.986,0.000,3.349,0.00
2.900,8.000,8.410,-0.410,5.404,-61.500,66.904,0.000,3.345,0.00
2.910,8.000,8.410,-0.410,5.322,-61.500,66.822,0.000,3.341,0.00
2.920,8.000,8.410,-0.410,5.240,-61.500,66.740,0.000,3.337,0.00
2.930,8.000,8.410,-0.410,5.158,-61.500,66.658,0.000,3.333,0.00
2.940,8.000,8.410,-0.410,5.076,-61.500,66.576,0.000,3.329,0.00
2.950,8.000,8.410,-0.410,4.994,-61.500,66.494,0.000,3.325,0.00
2.960,8.000,8.410,-0.410,4.912,-61.500,66.412,0.000,3.321,0.00
2.970,8.000,8.410,-0.410,4.830,-61.500,66.330,0.000,3.317,0.00
2.980,8.000,8.410,-0.410,4.748,-61.500,66.248,0.000,3.312,0.00
2.990,8.000,8.410,-0.410,4.666,-61.500,66.166,0.000,3.308,0.00
3.000,8.000,8.410,-0.410,4.584,-61.500,66.084,0.000,3.304,0.00
3.010,8.000,8.410,-0.410,4.502,-61.500,66.002,0.000,3.300,0.00
3.020,8.000,8.410,-0.410,4.420,-61.500,65.920,0.000,3.296,0.00
3.030,8.000,8.410,-0.410,4.338,-61.500,65.838,0.000,3.292,0.00
3.040,8.000,8.410,-0.410,4.256,-61.500,65.756,0.000,3.288,0.00
3.050,8.000,8.410,-0.410,4.174,-61.500,65.674,0.000,3.284,0.00
3.060,8.000,8.410,-0.410,4.092,-61.500,65.592,0.000,3.280,0.00
3.070,8.000,8.410,-0.410,4.010,-61.500,65.510,0.000,3.276,0.00
3.080,8.000,8.410,-0.410,3.928,-61.500,65.428,0.000,3.271,0.00
3.090,8.000,8.410,-0.410,3.846,-61.500,65.346,0.000,3.267,0.00
3.100,8.000,8.410,-0.410,3.764,-61.500,65.264,0.000,3.263,0.00
3.110,8.000,8.410,-0.410,3.682,-61.500,65.182,0.000,3.259,0.00
3.120,8.000,8.410,-0.410,3.600,-61.500,65.100,0.000,3.255,0.00
3.130,8.000,8.410,-0.410,3.518,-61.500,65.018,0.000,3.251,0.00
3.140,8.000,8.410,-0.410,3.436,-61.500,64.936,0.000,3.247,0.00
3.150,8.000,8.410,-0.410,3.354,-61.500,64.854,0.000,3.243,0.00
3.160,8.000,8.410,-0.410,3.272,-61.500,64.772,0.000,3.239,0.00
3.170,8.000,8.410,-0.410,3.190,-61.500,64.690,0.000,3.234,0.00
3.180,8.000,8.410,-0.410,3.108,-61.500,64.608,0.000,3.230,0.00
3.190,8.000,8.410,-0.410,3.026,-61.500,64.526,0.000,3.226,0.00
3.200,8.000,8.420,-0.420,-8.558,-63.000,64.442,-10.000,3.222,0.00
3.210,8.000,8.410,-0.410,12.860,-61.500,64.360,10.000,3.218,0.00
3.220,8.000,8.410,-0.410,2.778,-61.500,64.278,0.000,3.214,0.00
3.230,8.000,8.410,-0.410,2.696,-61.500,64.196,0.000,3.210,0.00
3.240,8.000,8.420,-0.420,-8.888,-63.000,64.112,-10.000,3.206,0.00
3.250,8.000,8.420,-0.420,1.028,-63.000,64.028,0.000,3.201,0.00
3.260,8.000,8.410,-0.410,12.446,-61.500,63.946,10.000,3.197,0.00
3.270,8.000,8.410,-0.410,2.364,-61.500,63.864,0.000,3.193,0.00
3.280,8.000,8.410,-0.410,2.282,-61.500,63.782,0.000,3.189,0.00
3.290,8.000,8.410,-0.410,2.200,-61.500,63.700,0.000,3.185,0.00
3.300,8.000,8.410,-0.410,2.118,-61.500,63.618,0.000,3.181,0.00
